"Permanent_Identifier","coords.x1","coords.x2","X.1","X","OBJECTID","ORIG_FID","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","FlowDir","WBArea_Per","FType","FCode","MainPath","InNetwork","Visibility","Shape_Leng","NHDPlusID","VPUID","Enabled","slope","row_count","Q_multiplier"
1003,-96.57137135,39.09724721,740,740,740,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.054603452,740,0.0363054003214623
1003,-96.57137329,39.09724634,741,741,741,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.056742336,741,0.036309459812309
1004,-96.56708709,39.09351794,179,179,179,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.012212638,179,0.112875727648333
1004,-96.56742857,39.0935486,180,180,180,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.018490202,180,0.113779931330466
1004,-96.56776579,39.09362459,181,181,181,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.017072041,181,0.114703329285271
1004,-96.5680824,39.09376777,182,182,182,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.012629869,182,0.115666250026963
1004,-96.56829254,39.09402577,183,183,183,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.012650058,183,0.116697766672202
1004,-96.56834685,39.09434338,184,184,184,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.008938043,184,0.117779365656329
1004,-96.56816827,39.09462668,185,185,185,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.003760127,185,0.118844815750003
1004,-96.56836124,39.09489053,186,186,186,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.006358685,186,0.119869956839235
1004,-96.56870713,39.09489798,187,187,187,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,8.29977e-05,187,0.120780148371281
1004,-96.56904783,39.0949624,188,188,188,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.005918741,188,0.121702344891689
1004,-96.56937901,39.09506398,189,189,189,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.00626004,189,0.12263854773931
1004,-96.56972139,39.09512179,190,190,190,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.009567077,190,0.123560055650173
1004,-96.56996045,39.0949251,191,191,191,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.009300779,191,0.12447452523276
1004,-96.57025449,39.09483209,192,192,192,10,"3/26/2012",2,480854,"North Branch Kings Creek",0.85,1.02701e+13,1,NA,460,46003,0,1,0,0.008875085,2.3001e+13,1027,1,0.016337932,192,0.125309275042588
